# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
fen 	粉	c=0 d=3.94797e-68 t=50309
fen bie 	分別	c=8 d=9.93425e-41 t=50309
fen bu 	分佈	c=2 d=2.83451e-73 t=50309
fen bu gu shen 	奮不顧身	c=2 d=0.0115625 t=50309
fen bu shi 	分佈式	c=7 d=1.28346e-69 t=50309
fen ci 	分詞	c=0 d=1.14996e-86 t=50309
fen ci 	粉刺	c=1 d=1.11042e-85 t=50309
fen ci qi 	分詞器	c=1 d=1.15573e-85 t=50309
fen de 	分得	c=1 d=1.49457e-51 t=50309
fen dian 	分店	c=2 d=7.87695e-91 t=50309
fen ge 	分割	c=1 d=1.39277e-74 t=50309
fen ge xian 	分割線	c=2 d=0.818731 t=50309
fen hao 	分號	c=1 d=5.9799e-40 t=50309
fen hong 	粉紅	c=2 d=1.84377e-24 t=50309
fen hui 	分會	c=1 d=9.04808e-30 t=50309
fen kai 	分開	c=7 d=1.02683e-32 t=50309
fen ku 	分庫	c=8 d=7.3105e-26 t=50309
fen lei 	分類	c=1 d=1.55843e-102 t=50309
fen li 	分離	c=2 d=3.33484e-52 t=50309
fen ming 	分明	c=1 d=3.03107e-46 t=50309
fen mu 	分母	c=1 d=8.68119e-43 t=50309
fen pei 	分配	c=5 d=9.49227e-35 t=50309
fen pian 	分片	c=4 d=2.70172e-82 t=50309
fen qi 	分期	c=1 d=2.92632e-44 t=50309
fen san 	分散	c=1 d=5.03286e-41 t=50309
fen se 	粉色	c=1 d=1.16544e-07 t=50309
fen shou 	分手	c=6 d=6.56578e-22 t=50309
fen shu 	分數	c=1 d=0.00280879 t=50309
fen wei 	分爲	c=5 d=1.56581e-40 t=50309
fen xi 	分析	c=10 d=0.650516 t=50309
fen xiang 	分享	c=29 d=6.29094e-11 t=50309
fen ye 	分頁	c=3 d=2.89963e-12 t=50309
fen zhi 	分支	c=51 d=0.000308841 t=50309
fen zhong 	分鐘	c=27 d=3.78426e-10 t=50309
fen zhu 	分株	c=1 d=3.65437e-99 t=50309
fen zi 	分子	c=2 d=1.22878e-12 t=50309
fen zu 	分組	c=26 d=8.67678e-10 t=50309
feng 	封	c=1 d=1.18631e-10 t=50309
feng 	峯	c=1 d=7.57926e-93 t=50309
feng 	風	c=3 d=3.78958e-07 t=50309
feng 	馮	c=8 d=8.65611e-09 t=50309
feng bao 	風暴	c=5 d=3.62834e-15 t=50309
feng chun 	馮春	c=15 d=0.186374 t=50309
feng ge 	風格	c=2 d=8.15992e-34 t=50309
feng jing 	風景	c=0 d=3.30862e-19 t=50309
feng kuang 	瘋狂	c=1 d=1.63849e-15 t=50309
feng le 	封了	c=1 d=1.19226e-10 t=50309
feng mian 	封面	c=2 d=4.02e-49 t=50309
feng shan 	風扇	c=1 d=1.9119e-07 t=50309
feng xian 	風險	c=4 d=5.56235e-12 t=50309
feng ye 	楓葉	c=3 d=4.52727e-47 t=50309
feng zhuang 	封裝	c=17 d=1.25439e-66 t=50309
fou 	否	c=36 d=0.223963 t=50309
fou ze 	否則	c=3 d=0.0195457 t=50309
fu 	付	c=2 d=1.07101e-13 t=50309
fu 	富	c=1 d=1.13157e-13 t=50309
fu 	服	c=3 d=3.25991e-43 t=50309
fu 	負	c=9 d=1.13705e-11 t=50309
fu dao 	輔導	c=1 d=2.31102e-61 t=50309
fu fan 	復返	c=1 d=1.16874e-99 t=50309
fu fei 	付費	c=1 d=4.51398e-55 t=50309
fu gai 	覆蓋	c=12 d=4.14487e-22 t=50309
fu gai lv 	覆蓋率	c=15 d=7.12382e-22 t=50309
fu hao 	符號	c=6 d=2.24631e-21 t=50309
fu he 	符合	c=14 d=2.29094e-21 t=50309
fu he 	複合	c=2 d=1.484e-21 t=50309
fu jia 	附加	c=1 d=4.42399e-24 t=50309
fu jin 	附近	c=3 d=2.97181e-91 t=50309
fu ku cun 	負庫存	c=75 d=2.37343e-11 t=50309
fu le 	服了	c=3 d=0.00117088 t=50309
fu lei 	弗雷	c=1 d=1.23549e-76 t=50309
fu lu 	附錄	c=1 d=4.5411e-96 t=50309
fu mian 	負面	c=1 d=3.03891e-47 t=50309
fu mu 	父母	c=1 d=9.18326e-28 t=50309
fu pan 	覆盤	c=1 d=3.70038e-11 t=50309
fu po 	富婆	c=7 d=9.98437e-12 t=50309
fu ren 	夫人	c=1 d=1.55752e-07 t=50309
fu shu 	負數	c=7 d=1.8743e-38 t=50309
fu wu 	服務	c=34 d=0.275178 t=50309
fu wu qi 	服務器	c=21 d=0.189908 t=50309
fu wu zu 	服務組	c=1 d=4.87037e-96 t=50309
fu xi 	複習	c=2 d=1.05755e-70 t=50309
fu yong 	復用	c=23 d=2.11506e-48 t=50309
fu za 	複雜	c=13 d=1.76184e-16 t=50309
fu za du 	複雜度	c=5 d=2.58737 t=50309
fu ze 	負責	c=3 d=7.53808e-29 t=50309
fu ze ren 	負責人	c=3 d=4.8574e-93 t=50309
fu zhi 	複製	c=5 d=0.42046 t=50309
fu zhi 	賦值	c=26 d=0.0093259 t=50309
fu zhu 	輔助	c=1 d=0.0837432 t=50309
ga liao 	尬聊	c=1 d=0.000446085 t=50309
gai 	改	c=104 d=0.214383 t=50309
gai 	該	c=13 d=4.35464e-14 t=50309
gai bian 	改變	c=6 d=9.0607e-17 t=50309
gai cheng 	改成	c=1 d=3.14706e-76 t=50309
gai cuo 	改錯	c=1 d=2.20985e-05 t=50309
gai dong 	改動	c=6 d=5.63663e-21 t=50309
gai hao 	改好	c=5 d=1.36435e-08 t=50309
gai hui lai 	改回來	c=1 d=5.20205e-77 t=50309
gai jin 	改進	c=1 d=8.49627e-25 t=50309
gai lv 	概率	c=2 d=2.72291e-20 t=50309
gai ming 	改名	c=1 d=6.70485e-92 t=50309
gai nian 	概念	c=1 d=6.09843e-65 t=50309
gai wei 	改爲	c=10 d=0.101295 t=50309
gai yi xia 	改一下	c=1 d=2.57563e-101 t=50309
gai zao 	改造	c=1 d=2.43871e-76 t=50309
gai zou 	改走	c=1 d=1.22811e-35 t=50309
gan 	幹	c=59 d=1.54901 t=50309
gan 	感	c=5 d=0.489784 t=50309
gan 	敢	c=6 d=4.74977e-07 t=50309
gan 	淦	c=23 d=9.68434e-06 t=50309
gan 	肝	c=2 d=1.18167e-72 t=50309
gan bao cun 	幹保存	c=1 d=1.92115e-05 t=50309
gan bu dao 	趕不到	c=1 d=6.25791e-104 t=50309
gan bu gan xing qu 	幹不感興趣	c=1 d=0.000156885 t=50309
gan cui 	乾脆	c=3 d=0.0306541 t=50309
gan de 	乾的	c=0 d=4.96147e-21 t=50309
gan de piao liang 	乾的漂亮	c=1 d=4.98634e-20 t=50309
gan de shang 	趕得上	c=1 d=4.52904e-06 t=50309
gan ga 	尷尬	c=14 d=4.33267e-13 t=50309
gan gan jing jing 	乾乾淨淨	c=1 d=4.40104e-51 t=50309
gan huo 	幹活	c=12 d=0.663956 t=50309
gan jin 	幹勁	c=1 d=1 t=50098
gan jin 	趕緊	c=21 d=1.06549e-11 t=50309
gan jue 	感覺	c=49 d=0.708434 t=50309
gan lai 	趕來	c=2 d=3.58564e-15 t=50309
gan ma 	幹嘛	c=10 d=6.49087e-23 t=50309
gan mao 	感冒	c=1 d=2.5175e-09 t=50309
gan sha 	幹啥	c=4 d=6.95853e-29 t=50309
gan shou 	感受	c=1 d=1.05342e-24 t=50309
gan shou dao 	感受到	c=1 d=7.50967e-14 t=50309
gan tan 	感嘆	c=1 d=7.25855e-55 t=50309
gan wan 	幹完	c=1 d=1.85338e-53 t=50309
gan xie 	感謝	c=1 d=3.33438e-21 t=50309
gan xing qu 	感興趣	c=4 d=0.339596 t=50309
gan zhe 	乾着	c=3 d=3.39761e-65 t=50309
gan zhe 	甘蔗	c=1 d=8.05503e-74 t=50309
gan zou 	趕走	c=2 d=0.007049 t=50309
gang 	剛	c=23 d=0.353458 t=50309
gang chu 	剛出	c=1 d=2.67491e-46 t=50309
gang gang 	剛剛	c=9 d=2.76077e-06 t=50309
gang hao 	剛好	c=2 d=3.24255e-16 t=50309
gang ling 	槓鈴	c=1 d=1.41363e-43 t=50309
gang wei 	崗位	c=1 d=2.92522e-69 t=50309
gang xiang 	剛想	c=1 d=4.19424e-73 t=50309
gang zai 	剛在	c=1 d=5.40531e-28 t=50309
gao 	搞	c=83 d=1.22465 t=50309
gao 	高	c=22 d=1.37236e-18 t=50309
gao bu dong 	搞不懂	c=1 d=1.53899e-72 t=50309
gao ceng 	高層	c=1 d=2.82125e-55 t=50309
gao cuo 	搞錯	c=2 d=5.89513e-29 t=50309
gao ding 	搞定	c=9 d=2.18519e-20 t=50309
gao dong 	搞懂	c=1 d=1.18684e-74 t=50309
gao du 	高度	c=4 d=6.15321e-15 t=50309
gao gao 	高高	c=2 d=1.52865e-53 t=50309
gao hao 	搞好	c=1 d=1.81662e-82 t=50309
gao ji 	高級	c=6 d=8.90125e-14 t=50309
gao jie 	高階	c=3 d=5.49898e-83 t=50309
gao jin qu 	搞進去	c=1 d=5.79687e-86 t=50309
gao kao 	高考	c=1 d=3.58457e-78 t=50309
gao le 	搞了	c=1 d=8.05777e-78 t=50309
gao leng 	高冷	c=1 d=0.00017252 t=50309
gao liang 	高亮	c=5 d=4.93458e-58 t=50309
gao pan 	高攀	c=1 d=1.85017e-62 t=50309
gao qi 	搞起	c=1 d=2.2345e-106 t=50309
gao qing 	高清	c=1 d=1 t=49359
gao ren 	高人	c=1 d=5.74035e-59 t=50309
gao san 	高三	c=1 d=6.36957e-18 t=50309
gao sha zi 	搞啥子	c=1 d=5.99396e-97 t=50309
gao su 	告訴	c=1 d=2.05535e-64 t=50309
gao su 	高速	c=2 d=2.0451e-64 t=50309
gao tie 	高鐵	c=1 d=2.66075e-13 t=50309
gao wan 	搞完	c=2 d=6.52796e-64 t=50309
gao xiao 	搞笑	c=1 d=2.57983e-32 t=50309
gao xiao 	高效	c=13 d=2.56778e-32 t=50309
gao xiao lv 	高效率	c=2 d=4.50784e-39 t=50309
gao xin 	高新	c=1 d=8.69571e-92 t=50309
gao xing 	高興	c=1 d=7.85532e-14 t=50309
gao yao 	膏藥	c=1 d=7.46284e-58 t=50309
gao zhi liang 	高質量	c=1 d=1.1734e-87 t=50309
gao zhong 	高中	c=6 d=0.0485578 t=50309
gao zi 	稿子	c=2 d=2.14725e-68 t=50309
ge 	個	c=46 d=1.09829 t=50309
ge 	各	c=4 d=4.55702e-49 t=50309
ge 	哥	c=66 d=1.0304 t=50309
ge 	歌	c=14 d=1.47605e-10 t=50309
ge bo 	胳膊	c=1 d=3.2577e-12 t=50309
ge ceng 	各層	c=1 d=7.25439e-107 t=50309
ge dan 	歌單	c=2 d=4.15328e-49 t=50309
ge de 	隔得	c=1 d=1.9575e-49 t=50309
ge ge 	個個	c=1 d=9.96675e-50 t=50309
ge ge 	各個	c=5 d=1.73236e-46 t=50309
ge ge 	哥哥	c=1 d=2.27584e-57 t=50309
ge ju 	格局	c=5 d=6.1557e-19 t=50309
ge kai 	隔開	c=2 d=3.80376e-41 t=50309
ge kong 	隔空	c=7 d=9.75537e-57 t=50309
ge lei 	各類	c=3 d=1.4219e-93 t=50309
ge li 	隔離	c=7 d=1.4205e-07 t=50309
ge ren 	個人	c=15 d=0.000152248 t=50309
ge shi 	格式	c=21 d=7.66132e-56 t=50309
ge shi hua 	格式化	c=1 d=4.21168e-63 t=50309
ge shu 	個數	c=10 d=6.65183e-42 t=50309
ge ti 	個體	c=1 d=5.80279e-98 t=50309
ge wei 	各位	c=4 d=1.52114e-23 t=50309
ge you 	各有	c=1 d=5.92966e-29 t=50309
ge yue 	個月	c=3 d=4.90973e-46 t=50309
ge zhe 	擱着	c=2 d=3.62144e-22 t=50309
ge zhe 	隔着	c=1 d=8.41117e-83 t=50309
ge zhe ge zhe 	擱着擱着	c=1 d=8.8004e-27 t=50309
ge zhong 	各種	c=26 d=8.05555e-16 t=50309
gei 	給	c=55 d=0.0607763 t=50309
gei chu 	給出	c=1 d=1.39638e-75 t=50309
gei le 	給了	c=1 d=2.74673e-93 t=50309
gei ni 	給你	c=37 d=0.000998515 t=50309
gei ta 	給她	c=1 d=6.89398e-37 t=50309
gei wo 	給我	c=25 d=1.48067e-07 t=50309
gei wo men 	給我們	c=1 d=3.75798e-75 t=50309
gen 	根	c=20 d=0.000112226 t=50309
gen 	跟	c=7 d=2.0537e-08 t=50309
gen ben 	根本	c=9 d=4.63834e-21 t=50309
gen hao 	根號	c=1 d=4.39864e-74 t=50309
gen jie dian 	根節點	c=2 d=7.62411e-30 t=50309
gen jin 	跟進	c=5 d=3.53418e-55 t=50309
gen ju 	根據	c=22 d=0.217621 t=50309
gen shang 	跟上	c=1 d=2.22495e-85 t=50309
gen sui 	跟隨	c=1 d=4.70621e-75 t=50309
gen wo 	跟我	c=2 d=9.03981e-78 t=50309
gen zhe 	跟着	c=5 d=0.000608301 t=50309
geng 	更	c=22 d=1.36876e-05 t=50309
geng 	梗	c=7 d=0.00032718 t=50309
geng ai 	更愛	c=1 d=1.0521e-68 t=50309
geng duo 	更多	c=9 d=3.41588e-11 t=50309
geng gai 	更改	c=8 d=0.027461 t=50309
geng gao 	更高	c=2 d=4.17914e-99 t=50309
geng hao 	更好	c=11 d=1.01632e-14 t=50309
geng huan 	更換	c=1 d=3.92694e-63 t=50309
geng jia 	更加	c=11 d=1.45136e-20 t=50309
geng jin 	更近	c=1 d=7.14636e-107 t=50309
geng ju 	更具	c=2 d=1.49025e-17 t=50309
geng kuai 	更快	c=3 d=1.04727e-14 t=50309
geng neng 	更能	c=1 d=1.06815e-99 t=50309
geng se 	梗塞	c=1 d=7.69011e-58 t=50309
geng xi 	更細	c=1 d=7.06993e-10 t=50309
geng xin 	更新	c=45 d=2.72056e-07 t=50309
gong 	供	c=3 d=1.34982e-80 t=50309
gong 	共	c=5 d=6.26493e-29 t=50309
gong 	宮	c=1 d=9.17644e-78 t=50309
gong chang 	工廠	c=10 d=6.60319e-30 t=50309
gong cheng 	工程	c=5 d=6.09966e-38 t=50309
gong cheng shi 	工程師	c=2 d=2.52388e-89 t=50309
gong cun 	宮村	c=1 d=2.50913e-58 t=50309
gong gu 	鞏固	c=1 d=3.51718e-90 t=50309
gong ji 	攻擊	c=1 d=8.59451e-72 t=50309
gong ju 	工具	c=1 d=1.65936e-105 t=50309
gong kai 	公開	c=1 d=5.50589e-39 t=50309
gong lve 	攻略	c=3 d=4.30509e-27 t=50309
gong neng 	功能	c=45 d=0.114751 t=50309
gong pai 	工牌	c=1 d=5.74426e-67 t=50309
gong ping 	公平	c=1 d=9.85615e-07 t=50309
gong si 	公司	c=30 d=0.0710054 t=50309
gong sun 	公孫	c=0 d=5.10632e-36 t=50309
gong sun li 	公孫離	c=1 d=5.13191e-35 t=50309
gong tong 	共同	c=1 d=2.31457e-79 t=50309
gong wei 	工位	c=1 d=8.18957e-63 t=50309
gong xi 	恭喜	c=5 d=0.371064 t=50309
gong xian 	貢獻	c=3 d=2.90284 t=49637
gong xiang 	共享	c=2 d=2.07427e-51 t=50309
gong xiang dan che 	共享單車	c=1 d=3.82608e-51 t=50309
gong xue 	供血	c=1 d=3.99797e-68 t=50309
gong yao 	公鑰	c=1 d=7.66529e-20 t=50309
gong yi 	公益	c=1 d=2.13509e-100 t=50309
gong ying 	共贏	c=1 d=1.07433e-20 t=50309
gong ying lian 	供應鏈	c=24 d=0.187255 t=50309
gong ying shang 	供應商	c=15 d=9.05454e-09 t=50309
gong you 	公有	c=1 d=1.34881e-79 t=50309
gong zhu 	公主	c=0 d=6.07667e-24 t=50309
gong zi 	工資	c=26 d=1.45969 t=50309
gong zuo 	工作	c=64 d=0.73221 t=50309
gong zuo liang 	工作量	c=2 d=6.35529e-21 t=50309
gong zuo ri 	工作日	c=1 d=4.58674e-96 t=50309
gou 	夠	c=3 d=5.05465e-33 t=50309
gou 	購	c=1 d=1.11818e-20 t=50309
gou gou 	狗狗	c=5 d=1.10686e-18 t=50309
gou jian 	構建	c=18 d=1.39646e-09 t=50309
gou le 	勾勒	c=1 d=3.50142e-96 t=50309
gou le 	夠了	c=4 d=2.60239e-43 t=50309
gou ming 	狗命	c=1 d=9.52525e-17 t=50309
gou ou guan 	夠歐冠	c=1 d=1.71263e-65 t=50309
gou tong 	溝通	c=10 d=2.63786e-29 t=50309
gou yong 	夠用	c=1 d=5.88767e-63 t=50309
gou zao 	構造	c=29 d=1.3584 t=50309
gou zao qi 	构造器	c=1 d=1.87973e-72 t=50309
gou zi 	鉤子	c=2 d=5.50394e-73 t=50309
gu 	固	c=2 d=5.20985e-87 t=50309
gu 	故	c=1 d=3.74191e-54 t=50309
gu 	股	c=0 d=1.2102e-69 t=50309
gu dan 	孤單	c=1 d=4.00014e-45 t=50309
gu du 	孤獨	c=2 d=0.00924099 t=50309
gu du gan 	孤獨感	c=1 d=0.000884932 t=50309
gu feng 	古風	c=3 d=1.9385e-49 t=50309
gu ge 	谷歌	c=23 d=1.36765e-07 t=50309
gu gu 	咕咕	c=1 d=8.25754e-72 t=50309
gu ji 	估計	c=59 d=1.26806 t=50309
gu ji shi 	估計是	c=1 d=4.62683e-22 t=50309
gu niang 	姑娘	c=2 d=4.29909e-40 t=50309
gu piao 	股票	c=1 d=3.42928e-57 t=50309
gu qing 	沽清	c=5 d=0.363578 t=50309
gu shi 	古詩	c=2 d=1.97531 t=49695
gu yi 	故意	c=1 d=0.0131019 t=50309
gu zhang 	故障	c=1 d=1.20786e-104 t=50309
gua 	掛	c=3 d=0.140858 t=50309
gua 	瓜	c=8 d=4.12925e-07 t=50309
guai 	乖	c=1 d=1.41358e-72 t=50309
guai 	怪	c=11 d=4.41872e-10 t=50309
guai 	拐	c=1 d=3.45539e-58 t=50309
guai bu de 	怪不得	c=6 d=2.66685e-17 t=50309
guai le 	怪了	c=1 d=7.23242e-42 t=50309
guai zhang 	柺杖	c=0 d=3.10304e-29 t=50309
guan 	管	c=17 d=0.00559999 t=50309
guan 	觀	c=1 d=3.12987e-34 t=50309
guan 	關	c=7 d=0.208704 t=50309
guan bi 	關閉	c=9 d=0.168195 t=50309
guan cha 	觀察	c=2 d=3.50821e-60 t=50309
guan cha zhe 	觀察者	c=5 d=5.89903e-61 t=50309
guan chong 	慣寵	c=1 d=4.66826e-68 t=50309
guan chuan 	貫穿	c=1 d=3.42381e-97 t=50309
guan du 	官渡	c=1 d=1.9696e-92 t=50309
guan fang 	官方	c=5 d=6.07363e-17 t=50309
guan jia 	管家	c=1 d=3.72463e-29 t=50309
guan jian dai ma 	關鍵代碼	c=1 d=1.1605e-104 t=50309
guan jian zi 	關鍵字	c=1 d=8.35243e-30 t=50309
guan jun 	冠軍	c=1 d=0.000428594 t=50309
guan kan 	觀看	c=4 d=8.2865e-25 t=50309
guan le 	慣了	c=1 d=1.08942e-37 t=50309
guan le 	關了	c=3 d=2.2106e-09 t=50309
guan li 	管理	c=10 d=2.99896e-09 t=50309
guan lian 	關聯	c=17 d=3.4822e-13 t=50309
guan men 	關門	c=1 d=4.65923e-104 t=50309
guan ta 	管他	c=6 d=3.07164e-26 t=50309
guan ta de 	管他的	c=8 d=0.00324416 t=50309
guan ta ne 	管他呢	c=1 d=7.81082e-06 t=50309
guan wan 	盥澣	c=1 d=6.34839e-67 t=50309
guan wang 	官網	c=1 d=6.38021e-67 t=50309
guan xi 	關係	c=22 d=0.340822 t=50309
guan xi tu 	關係圖	c=1 d=2.19406e-97 t=50309
guan xia 	管轄	c=4 d=0.267135 t=50309
guan xiao tong 	關曉彤	c=1 d=0.000253537 t=50309
guan xin 	關心	c=3 d=1.55376e-55 t=50309
guan yu 	關於	c=8 d=0.0784148 t=50309
guan zhao 	關照	c=2 d=4.66068e-11 t=50309
guan zhu 	關注	c=6 d=6.72126e-62 t=50309
guan zi 	館子	c=1 d=2.23078e-57 t=50309
guan zui 	灌醉	c=1 d=1 t=49477
guang 	光	c=7 d=0.000191602 t=50309
guang 	廣	c=1 d=3.01133e-28 t=50309
guang bo 	廣播	c=1 d=3.26502e-09 t=50309
guang chang 	廣場	c=1 d=2.53227e-19 t=50309
guang du 	廣度	c=8 d=1.84576e-34 t=50309
guang kan 	光看	c=1 d=1.43841e-71 t=50309
guang tou 	光頭	c=1 d=4.15123e-40 t=50309
gui 	貴	c=4 d=8.59509e-14 t=50309
gui 	鬼	c=11 d=2.21369e-18 t=50309
gui bing 	歸併	c=13 d=2.27359e-16 t=50309
gui dang 	歸檔	c=3 d=3.11329e-08 t=50309
gui ding 	規定	c=1 d=1.03344e-34 t=50309
gui fan 	規範	c=22 d=2.12972e-41 t=50309
gui hua 	規劃	c=9 d=2.65424e-43 t=50309
gui ji 	軌跡	c=1 d=6.77822e-73 t=50309
gui jiao 	硅膠	c=2 d=1.9214e-54 t=50309
gui ze 	規則	c=4 d=3.94619e-82 t=50309
gun 	滾	c=3 d=0.000149981 t=50309
gun dong 	滾動	c=1 d=1.67997e-15 t=50309
gun lun 	滾輪	c=1 d=1.45886e-90 t=50309
gun qu 	滾去	c=1 d=1.87717e-56 t=50309
gun ran 	袞然	c=1 d=9.01649e-77 t=50309
guo 	國	c=15 d=0.059389 t=50309
guo 	果	c=3 d=2.08544e-58 t=50309
guo 	裹	c=1 d=3.66531e-46 t=50309
guo 	過	c=72 d=0.930582 t=50309
guo 	郭	c=1 d=7.14536e-76 t=50309
guo 	鍋	c=6 d=2.56391e-18 t=50309
guo biao 	國標	c=1 d=2.53693e-70 t=50309
guo biao 	國表	c=1 d=5.82177e-107 t=50309
guo cheng 	過程	c=14 d=2.12133e-24 t=50309
guo cheng zhong 	過程中	c=1 d=2.06559e-93 t=50309
guo cui 	國粹	c=1 d=6.85865e-06 t=50309
guo duan 	果斷	c=1 d=0.00680566 t=50309
guo duo 	過多	c=1 d=9.37197e-32 t=50309
guo fen 	過分	c=1 d=0.00052611 t=50309
guo hou 	過後	c=1 d=3.98506e-30 t=50309
guo ji 	國際	c=1 d=7.53167e-19 t=50309
guo lai 	過來	c=10 d=1.14597e-33 t=50309
guo le 	過了	c=2 d=3.06511e-89 t=50309
guo lv 	過濾	c=15 d=0.19898 t=50309
guo min 	過敏	c=1 d=1.81853e-65 t=50309
guo nei 	國內	c=1 d=2.53866e-78 t=50309
guo qi 	國企	c=2 d=1.0614e-46 t=50309
guo qi 	過期	c=5 d=2.80584e-20 t=50309
guo qing 	國慶	c=1 d=7.67859e-11 t=50309
guo qu 	過去	c=7 d=0.00046761 t=50309
guo ran 	果然	c=13 d=0.347158 t=50309
guo shi 	過時	c=1 d=1.63666e-90 t=50309
guo wai 	國外	c=1 d=1.68897e-19 t=50309
guo zi 	果子	c=2 d=0.0908633 t=50309
guo zu 	國足	c=1 d=8.58166e-25 t=50309
ha 	哈	c=40 d=3.5224e-07 t=50309
ha ha 	哈哈	c=75 d=0.754187 t=50309
ha ha ha 	哈哈哈	c=5 d=0.255396 t=50309
ha xi 	哈希	c=1 d=1.96531e-37 t=50309
hai 	嗨	c=3 d=1.27667e-50 t=50309
hai 	害	c=54 d=0.0594789 t=50309
hai 	海	c=8 d=1.08138e-64 t=50309
hai 	還	c=113 d=0.910401 t=50309
hai ba 	還把	c=1 d=0.00690852 t=50309
hai bu 	還不	c=9 d=0.00514361 t=50309
hai bu lai 	還不來	c=1 d=1.58252e-106 t=50309
hai bu ru 	還不如	c=1 d=3.76514e-68 t=50309
hai bu shi 	還不是	c=1 d=1.32174e-17 t=50309
hai de 	害得	c=6 d=1.46095e-48 t=50309
hai hao 	還好	c=18 d=2.53027e-09 t=50309
hai hui 	還會	c=3 d=8.06055e-61 t=50309
hai ji de 	還記得	c=1 d=3.80816e-84 t=50309
hai jiu 	海鷲	c=3 d=1.92142e-36 t=50309
hai lai 	還來	c=1 d=6.33719e-105 t=50309
hai mei 	還沒	c=14 d=0.71177 t=50309
hai mei you 	還沒有	c=4 d=4.86158e-16 t=50309
hai mian 	海綿	c=3 d=2.85384e-13 t=50309
hai neng 	還能	c=12 d=4.08886e-09 t=50309
hai ou 	海鷗	c=1 d=6.02851e-47 t=50309
hai pa 	害怕	c=5 d=0.127454 t=50309
hai qu 	還去	c=2 d=3.24465e-44 t=50309
hai shi 	還是	c=100 d=2.16131 t=50309
hai shuo 	還說	c=4 d=0.00708341 t=50309
hai suan 	還算	c=4 d=3.2638e-34 t=50309
hai xiang 	還想	c=6 d=0.0113907 t=50309
hai xiao 	還小	c=1 d=1.41238e-62 t=50309
hai xing 	還行	c=10 d=3.13156e-18 t=50309
hai xiu 	害羞	c=1 d=8.9953e-20 t=50309
hai xu yao 	還需要	c=7 d=2.30004e-05 t=50309
hai yao 	還要	c=16 d=2.74774e-08 t=50309
hai yi wei 	還以爲	c=1 d=6.06079e-51 t=50309
hai you 	還有	c=80 d=0.679521 t=50309
hai you dian 	還有點	c=1 d=5.32376e-55 t=50309
hai you ren 	還有人	c=1 d=2.76406e-20 t=50309
hai you xie 	還有些	c=1 d=5.26737e-18 t=50309
hai zai 	還在	c=14 d=0.392146 t=50309
hai zhen 	還真	c=1 d=1.14054e-47 t=50309
hai zi 	孩子	c=1 d=1.91652e-06 t=50309
han 	函	c=3 d=4.91612e-59 t=50309
han 	喊	c=12 d=5.69979e-21 t=50309
han 	汗	c=1 d=2.75291e-90 t=50309
han 	漢	c=1 d=9.14494e-67 t=50309
han 	韓	c=1 d=2.33584e-69 t=50309
han han 	鼾鼾	c=1 d=1.26745e-53 t=50309
han le 	喊了	c=1 d=4.23697e-104 t=50309
han ming ma 	漢明碼	c=1 d=4.72321e-88 t=50309
han ni 	喊你	c=8 d=8.26062e-47 t=50309
han ni ba 	漢尼拔	c=1 d=2.62596e-64 t=50309
han shu 	函數	c=10 d=0.921398 t=50309
han ta 	喊他	c=1 d=2.83482e-82 t=50309
han ta 	喊她	c=1 d=8.48706e-71 t=50309
han ta 	旱獺	c=1 d=2.82068e-82 t=50309
han wo 	喊我	c=6 d=1.18591e-06 t=50309
han wo 	酣臥	c=1 d=1.50227e-82 t=50309
han xuan 	寒暄	c=1 d=8.0998e-51 t=50309
hang 	夯	c=6 d=4.26703e-47 t=50309
hang 	行	c=5 d=1.67911e-09 t=50309
hang shu 	行數	c=2 d=1.33397e-94 t=50309
hang ye 	行業	c=2 d=1.22533e-88 t=50309
hang yu 	杭育	c=1 d=1.12605e-73 t=50309
hao 	好	c=162 d=0.598576 t=50309
hao 	耗	c=2 d=2.99645e-75 t=50309
hao 	號	c=55 d=0.000347412 t=50309
hao ba 	好吧	c=58 d=0.00727415 t=50309
hao bu hao 	好不好	c=1 d=1.78507e-23 t=50309
hao bu hao chi 	好不好吃	c=1 d=2.07353e-50 t=50309
hao cai 	好菜	c=1 d=1.38583e-74 t=50309
hao chi 	好喫	c=7 d=0.0593609 t=50309
hao chu 	好處	c=3 d=5.05997e-16 t=50309
hao de 	好的	c=12 d=3.77578e-13 t=50309
hao di fang 	好地方	c=1 d=5.49822e-52 t=50309
hao dian 	好點	c=11 d=0.000916453 t=50309
hao du 	好讀	c=1 d=7.47146e-101 t=50309
hao duo 	好多	c=14 d=2.17246e-10 t=50309
hao duo ren 	好多人	c=1 d=1.07138e-17 t=50309
hao e 	好餓	c=1 d=1.11408e-65 t=50309
hao fan 	好煩	c=2 d=8.95043e-20 t=50309
hao gan 	好感	c=1 d=1 t=50176
hao ge 	好個	c=1 d=6.86171e-70 t=50309
hao ge 	好歌	c=1 d=6.82751e-70 t=50309
hao ge 	毫哥	c=2 d=4.18144e-25 t=50309
hao gui 	好貴	c=1 d=2.7836e-44 t=50309
hao hao 	好好	c=38 d=0.0204022 t=50309
